symbol,name,color,icon,q3_24_prior,q4_24_prior,q1_25_prior,q2_25_prior,q3_25_current,q4_25_current,q1_26_current,q2_26_current,agg_prior,agg_current,change_pp,is_annualized,notes,category,mcap_start_prior_usd,mcap_end_prior_usd,mcap_start_current_usd,mcap_end_current_usd,mcap_change_pct,price_start_prior_usd,price_end_prior_usd,price_start_current_usd,price_end_current_usd,price_change_pct_prior,price_change_pct_current,volatility_annualized_prior,volatility_annualized_current,avg_24h_volume_m_usd_prior,avg_24h_volume_m_usd_current,volume_trend_pct,active_addresses,daily_tx_count,tvl_usd,circulating_supply,inflation_rate_pct,fdv_to_mcap_ratio,max_drawdown_prior_pct,max_drawdown_current_pct,sharpe_ratio_prior,sharpe_ratio_current,beta_vs_btc,beta_vs_eth,correlation_btc,correlation_eth,rsi_14d,ma50_200_cross_pct,momentum_90d_pct,yield_volatility,yield_trend_slope,yield_vs_category_avg,q3_26_forward_yield,yield_direction_next_q,risk_adjusted_yield,outperformance_vs_market_pp,investment_score,source_file,source_row,yield_momentum,mcap_to_tvl,risk_score,yield_premium,snapshot_source_file,snapshot_symbol,snapshot_status,snapshot_regular_market_time,snapshot_market_cap_usd,snapshot_price_usd,snapshot_change_pct,snapshot_volume_usd,snapshot_average_volume_usd,snapshot_52w_high_usd,snapshot_52w_low_usd,snapshot_circulating_supply,snapshot_website,snapshot_exchange,quote_status,quote_source_file,quote_symbol,quote_as_of_epoch,quote_as_of_iso,quote_fields_present,quote_completeness_pct,quote_file,quote_join_policy,catalog_row_policy,catalog_generated
LUNC,terra-luna,#f9d71c,L,8.21,9.08,9.22,7.88,8.66,8.71,8.76,9.37,8.6,8.88,0.28,0,post-collapse community staking,payments,280911479.0,323054820.0,323054820.0,420000000,49.51,0.0001,0.0001,0.0001,0.0001,0.0,0.0,66.0,59.39,19.47,14.16,-27.27,412968.0,6475322.0,30000000,5250000000000,8.0,1.43,-41.38,-39.84,10.0,11.584,0.947,0.91,0.408,0.739,35.1,13.71,34.39,0.47,0.069,-1.8,8.36,0,14.952,0.04,100,yield_data.csv,60,0.03243,14,4.855173515,10.68,,,canonical_only,,,,,,,,,,,,unavailable,,LUNC-USD,,,0,0,csv/quotes/LUNC.csv,raw supplied quote fields only; blank means unavailable,first canonical row with source_file=yield_data.csv,1
MATIC,polygon,#8247e5,P,5.01,5.39,5.37,5.07,5.45,5.51,5.21,5.81,5.21,5.5,0.29,0,PoS chain validator rewards post-migration,layer2,2028292690.0,2664365032.0,2664365032.0,3500000000,72.56,0.2712,0.3143,0.3143,0.35,15.89,11.36,75.0,73.94,157.68,340.26,115.79,14770269.0,33722536.0,800000000,10000000000,3.5,1.0,-21.96,-27.27,4.28,4.734,1.25,1.099,0.624,0.573,48.0,-19.37,-39.97,0.24,0.065,1.65,6.58,1,7.438,0.67,58.95,yield_data.csv,5,0.0156,4.375,19.52365864,3.85,,,canonical_only,,,,,,,,,,,,unavailable,,MATIC-USD,,,0,0,csv/quotes/MATIC.csv,raw supplied quote fields only; blank means unavailable,first canonical row with source_file=yield_data.csv,1
MINA,mina,#ff6038,M,7.39,7.73,7.62,7.68,8.51,8.46,7.83,8.18,7.61,8.25,0.64,0,snark-based PoS consensus,layer1,275218510.0,276849712.0,276849712.0,480000000,74.41,0.2843,0.4012,0.4012,0.38,41.12,-5.28,78.0,88.79,13.78,11.41,-17.2,1479364.0,4978416.0,40000000,1260000000,8.0,2.54,-34.53,-23.84,7.192,7.039,1.126,0.996,0.85,0.859,61.8,-16.77,30.71,0.38,0.112,2.88,8.35,1,9.292,0.93,91.11,yield_data.csv,38,0.04256,12,14.20337264,5.37,,,canonical_only,,,,,,,,,,,,unavailable,,MINA-USD,,,0,0,csv/quotes/MINA.csv,raw supplied quote fields only; blank means unavailable,first canonical row with source_file=yield_data.csv,1
MKR,maker,#1aab9b,M,1.72,2.24,2.16,1.76,2.22,2.45,2.17,2.35,1.97,2.3,0.33,0,sky protocol revenue share,defi,1058700939.0,1260605292.0,1260605292.0,1300000000,22.79,629.84,806.57,806.57,1200.0,28.06,48.78,80.0,89.02,48.54,125.49,158.53,862494.0,19854492.0,5920000000,1080000,0.0,0.93,-65.83,-30.57,-0.038,0.337,1.389,1.211,0.585,0.642,53.8,5.03,8.77,0.24,0.064,1.36,2.63,1,2.584,0.34,10.68,yield_data.csv,53,0.01536,0.2195945946,366.9103264,0.94,,,canonical_only,,,,,,,,,,,,unavailable,,MKR-USD,,,0,0,csv/quotes/MKR.csv,raw supplied quote fields only; blank means unavailable,first canonical row with source_file=yield_data.csv,1
MNDE,marinade,#00d4aa,M,4.96,4.92,6.03,5.43,5.26,5.94,5.94,5.97,5.33,5.78,0.45,0,mSOL liquid staking on solana,defi,100938840.0,93194248.0,93194248.0,120000000,18.88,0.079,0.0766,0.0766,0.12,-3.04,56.66,96.0,90.58,7.98,6.67,-16.42,418159.0,1670270.0,150000000,1000000000,0.0,1.24,-50.91,-58.88,3.469,4.173,1.456,1.63,0.576,0.61,33.3,-19.77,-36.59,0.44,0.14,1.09,6.95,1,6.381,0.88,49.0,yield_data.csv,47,0.0616,0.8,31.60423676,4.69,,,canonical_only,,,,,,,,,,,,unavailable,,MNDE-USD,,,0,0,csv/quotes/MNDE.csv,raw supplied quote fields only; blank means unavailable,first canonical row with source_file=yield_data.csv,1
NEAR,near,#00c08b,N,7.22,7.35,7.73,7.55,8.08,8.35,8.01,8.28,7.46,8.18,0.72,0,nightshade sharded PoS,layer1,3961582130.0,5257405193.0,5257405193.0,5500000000,38.83,2.92,3.46,3.46,3.95,18.49,14.16,65.0,57.36,129.17,278.63,115.71,5318654.0,80913732.0,800000000,1392000000,5.0,0.72,-59.09,-47.38,8.4,10.774,1.273,1.333,0.685,0.73,54.3,-8.51,65.99,0.4,0.156,3.71,7.3,0,14.261,0.48,100,yield_data.csv,19,0.0624,6.875,6.777360312,4.47,,,canonical_only,,,,,,,,,,,,unavailable,,NEAR-USD,,,0,0,csv/quotes/NEAR.csv,raw supplied quote fields only; blank means unavailable,first canonical row with source_file=yield_data.csv,1
NEO,neo,#58bf00,O,2.88,3.19,3.07,3.12,2.98,3.17,3.22,3.38,3.06,3.19,0.13,0,neo/gas dual-token staking,layer1,564478921.0,738389702.0,738389702.0,750000000,32.87,7.33,7.58,7.58,10.5,3.41,38.52,78.0,78.73,44.15,33.09,-25.05,2770808.0,10737997.0,60000000,71500000,2.0,1.4,-50.18,-27.85,1.359,1.511,1.141,1.292,0.752,0.766,56.5,-14.91,-24.74,0.14,0.045,1.9,3.14,0,4.052,0.02,21.55,yield_data.csv,30,0.0063,12.5,59.45131039,1.29,,,canonical_only,,,,,,,,,,,,unavailable,,NEO-USD,,,0,0,csv/quotes/NEO.csv,raw supplied quote fields only; blank means unavailable,first canonical row with source_file=yield_data.csv,1
ONDO,ondo,#1a3c6e,O,1.49,1.98,1.56,1.74,2.01,2.19,2.18,2.07,1.69,2.11,0.42,1,annualized from rwa tokenization yield,rwa,743435630.0,833156550.0,833156550.0,1100000000,47.96,0.85,0.79,0.79,1.05,-7.06,32.91,60.0,61.51,53.53,72.51,35.46,5037151.0,21674524.0,1400000000,1048000000,0.0,9.54,-52.0,-38.22,-0.517,0.179,0.891,0.848,0.478,0.721,32.3,-2.21,76.01,0.25,0.086,3.53,1.93,0,3.43,0.17,17.51,yield_data.csv,49,0.0215,0.7857142857,306.1754749,-1.42,,,canonical_only,,,,,,,,,,,,unavailable,,ONDO-USD,,,0,0,csv/quotes/ONDO.csv,raw supplied quote fields only; blank means unavailable,first canonical row with source_file=yield_data.csv,1
ONE,harmony,#00aee9,H,6.9,6.5,6.25,6.34,6.69,6.94,6.96,7.59,6.5,7.04,0.54,0,effective proof-of-stake,layer1,407427094.0,609564234.0,609564234.0,550000000,34.99,0.0201,0.0221,0.0221,0.028,9.95,26.7,78.0,73.82,29.88,12.77,-57.26,208057.0,3795502.0,25000000,19600000000,8.0,0.64,-27.34,-44.09,5.769,6.827,1.03,0.908,0.805,0.851,52.2,1.86,31.33,0.4,0.114,-2.0,7.02,0,9.537,0.82,79.76,yield_data.csv,34,0.0456,22,11.13733704,9.04,,,canonical_only,,,,,,,,,,,,unavailable,,ONE-USD,,,0,0,csv/quotes/ONE.csv,raw supplied quote fields only; blank means unavailable,first canonical row with source_file=yield_data.csv,1
OP,optimism,#ff0420,P,2.35,2.28,2.08,2.16,2.3,2.66,2.7,2.53,2.22,2.55,0.33,0,governance staking with retro funding,layer2,2727170458.0,2867086324.0,2867086324.0,3800000000,39.34,0.89,1.1,1.1,1.45,23.6,31.82,75.0,73.08,178.86,210.73,17.82,16915566.0,25996013.0,1200000000,2620000000,2.0,1.64,-20.62,-24.79,0.293,0.753,1.136,1.256,0.481,0.455,38.4,0.57,-6.77,0.21,0.062,2.04,2.31,0,3.489,-0.21,17.49,yield_data.csv,18,0.01302,3.166666667,110.2508367,0.51,,,canonical_only,,,,,,,,,,,,unavailable,,OP-USD,,,0,0,csv/quotes/OP.csv,raw supplied quote fields only; blank means unavailable,first canonical row with source_file=yield_data.csv,1
PENDLE,pendle,#1e293b,P,5.92,6.2,5.46,6.16,5.72,5.87,5.63,6.49,5.94,5.93,-0.01,0,yield tokenization protocol staking,defi,674788701.0,1007759677.0,1007759677.0,950000000,40.78,2.39,3.37,3.37,3.85,41.0,14.24,96.0,102.3,30.9,88.69,187.02,4360414.0,2965697.0,250000000,247000000,0.0,1.04,-53.07,-78.09,4.104,3.842,1.485,1.58,0.552,0.581,68.7,16.99,-31.38,0.32,0.023,-0.47,5.82,0,5.797,-0.97,50.07,yield_data.csv,41,0.00736,3.8,39.54073399,6.4,,,canonical_only,,,,,,,,,,,,unavailable,,PENDLE-USD,,,0,0,csv/quotes/PENDLE.csv,raw supplied quote fields only; blank means unavailable,first canonical row with source_file=yield_data.csv,1
RENDER,render,#ff6b35,R,4.21,4.81,4.1,4.13,4.87,4.68,4.81,5.25,4.31,4.9,0.59,0,DePIN GPU compute staking,depin,1683362046.0,1741929245.0,1741929245.0,2800000000,66.33,4.49,4.39,4.39,5.35,-2.23,21.87,85.0,76.29,133.78,142.43,6.47,6005240.0,47985668.0,120000000,523000000,3.0,1.02,-61.2,-62.05,2.718,3.801,1.339,1.315,0.684,0.632,33.7,20.36,48.69,0.39,0.116,-2.07,4.44,0,6.423,0.02,50.66,yield_data.csv,23,0.04524,23.33333333,26.87511444,6.97,,,canonical_only,,,,,,,,,,,,unavailable,,RENDER-USD,,,0,0,csv/quotes/RENDER.csv,raw supplied quote fields only; blank means unavailable,first canonical row with source_file=yield_data.csv,1
ROSE,oasis,#0092f6,O,9.0,8.32,8.77,8.66,8.78,8.5,9.34,9.47,8.69,9.02,0.33,0,paratime validator rewards,privacy,334480933.0,449871298.0,449871298.0,520000000,55.46,0.0534,0.0512,0.0512,0.075,-4.12,46.48,108.0,105.38,5.76,34.74,503.13,1383374.0,3054339.0,30000000,6940000000,7.0,1.44,-80.17,-79.08,6.194,6.662,1.212,1.369,0.618,0.583,44.3,3.27,74.32,0.37,0.092,-0.51,10.61,1,8.559,0.46,89.29,yield_data.csv,36,0.03404,17.33333333,19.17150405,9.53,,,canonical_only,,,,,,,,,,,,unavailable,,ROSE-USD,,,0,0,csv/quotes/ROSE.csv,raw supplied quote fields only; blank means unavailable,first canonical row with source_file=yield_data.csv,1
RPL,rocketpool,#e16f3a,R,2.09,2.32,2.11,2.36,2.53,2.52,2.52,2.72,2.22,2.57,0.35,0,rETH decentralized staking,defi,330211861.0,399778171.0,399778171.0,480000000,45.36,1.39,1.8,1.8,1.85,29.5,2.78,96.0,103.68,7.72,40.0,418.13,968800.0,1761293.0,800000000,260000000,0.0,0.07,-85.64,-61.32,0.229,0.55,1.321,1.344,0.502,0.69,32.8,19.78,77.62,0.2,0.081,-2.66,2.54,0,2.479,0.65,13.14,yield_data.csv,46,0.0162,0.6,249.0205091,5.23,,,canonical_only,,,,,,,,,,,,unavailable,,RPL-USD,,,0,0,csv/quotes/RPL.csv,raw supplied quote fields only; blank means unavailable,first canonical row with source_file=yield_data.csv,1
SEI,sei,#9e1e1e,E,6.68,5.91,6.61,5.83,6.16,6.81,6.52,6.47,6.26,6.49,0.23,0,parallelized orderbook L1 staking,layer1,1245763857.0,1428287193.0,1428287193.0,2200000000,76.6,0.2195,0.2817,0.2817,0.42,28.34,49.09,65.0,68.14,73.92,176.21,138.38,3361818.0,21348106.0,350000000,5250000000,6.0,1.9,-20.18,-35.62,6.554,6.589,1.157,1.096,0.679,0.728,37.2,24.5,63.62,0.34,0.03,-1.61,6.28,0,9.525,-0.69,82.3,yield_data.csv,20,0.0102,6.285714286,11.9650903,8.1,,,canonical_only,,,,,,,,,,,,unavailable,,SEI-USD,,,0,0,csv/quotes/SEI.csv,raw supplied quote fields only; blank means unavailable,first canonical row with source_file=yield_data.csv,1
SNX,synthetix,#00d1ff,S,4.91,4.98,5.05,6.0,5.64,5.92,5.73,5.97,5.24,5.81,0.57,0,snx collateral staking rewards,defi,590296517.0,811010467.0,811010467.0,720000000,21.97,0.76,0.83,0.83,1.15,9.21,38.55,96.0,89.93,9.31,29.46,216.43,646798.0,12151867.0,650000000,626000000,5.0,0.52,-57.26,-36.5,3.375,4.237,1.404,1.301,0.689,0.658,63.4,-16.83,44.63,0.44,0.16,1.91,6.89,1,6.461,0.13,56.63,yield_data.csv,55,0.0704,1.107692308,29.79979231,3.9,,,canonical_only,,,,,,,,,,,,unavailable,,SNX-USD,,,0,0,csv/quotes/SNX.csv,raw supplied quote fields only; blank means unavailable,first canonical row with source_file=yield_data.csv,1
SOL,solana,#14f195,S,6.35,6.87,6.72,6.73,6.69,7.25,7.19,7.2,6.67,7.08,0.41,0,delegated PoS with MEV-enhanced liquid staking,layer1,29224251417.0,42599572147.0,42599572147.0,42303602688,44.76,61.51,72.42,72.42,72.75,17.74,0.46,55.25,56.24,1710.61,1740.72,1.76,169595986.0,426750380.0,5780000000,581421568,5.0,2.2,-46.39,-26.67,8.452,9.033,1.088,1.013,0.608,0.801,53.9,0.62,22.75,0.3,0.108,0.92,8.45,1,12.589,0.52,98.16,yield_data.csv,4,0.0324,7.318962403,6.773953282,6.16,csv/table-1786043389453.csv,SOL-USD,source_snapshot,1786043327,42303602688,72.75,-2.2308877,1488574592,2737100422,253.2099,60.41472,581421568,https://solana.com,CCC,source_snapshot,csv/table-1786043389453.csv,SOL-USD,1786043327,2026-08-06T19:08:47Z,83,98.8,csv/quotes/SOL.csv,raw supplied quote fields only; blank means unavailable,first canonical row with source_file=yield_data.csv,1
SUI,sui,#4da2ff,U,5.51,4.55,5.55,4.49,5.15,4.91,4.54,5.46,5.03,5.02,-0.01,0,delegated PoS with variable participation,layer1,4776500317.0,7045197235.0,7045197235.0,7500000000,57.02,1.91,1.76,1.76,2.45,-7.85,39.2,65.0,70.22,170.65,688.14,303.25,20502573.0,51865713.0,634570000,3060000000,3.5,3.27,-40.55,-46.14,4.662,4.301,1.034,1.071,0.63,0.679,44.2,9.16,38.7,0.43,-0.02,-2.77,5.4,0,7.149,-0.04,52.94,yield_data.csv,11,-0.0086,11.81902706,16.88153453,7.79,,,canonical_only,,,,,,,,,,,,unavailable,,SUI-USD,,,0,0,csv/quotes/SUI.csv,raw supplied quote fields only; blank means unavailable,first canonical row with source_file=yield_data.csv,1
TAO,bittensor,#0a0a0a,O,8.93,10.13,9.43,9.87,9.8,9.89,9.2,10.24,9.59,9.78,0.19,0,staking-secured AI subnet rewards,ai,2672959910.0,2778562233.0,2778562233.0,3200000000,19.72,3.36,3.55,3.55,4.25,5.65,19.72,90.0,81.93,102.49,221.27,115.89,8852921.0,30508310.0,150000000,753000000,5.0,0.03,-69.82,-46.51,8.433,9.496,1.306,1.356,0.446,0.718,68.0,16.62,60.21,0.43,0.069,2.62,11.25,1,11.937,-0.27,100,yield_data.csv,13,0.02967,21.33333333,11.26796335,7.16,,,canonical_only,,,,,,,,,,,,unavailable,,TAO-USD,,,0,0,csv/quotes/TAO.csv,raw supplied quote fields only; blank means unavailable,first canonical row with source_file=yield_data.csv,1
THETA,theta,#2ab8e6,H,2.73,2.68,2.91,3.08,3.2,3.18,3.42,3.37,2.85,3.29,0.44,0,guardian node staking,media,926742242.0,1373865566.0,1373865566.0,1300000000,40.28,0.8,0.85,0.85,1.08,6.25,27.06,80.0,90.13,28.51,75.71,165.56,305978.0,16200255.0,110000000,1200000000,2.5,0.83,-30.42,-27.72,1.062,1.431,1.229,1.259,0.533,0.563,49.9,-17.34,-3.14,0.26,0.108,-2.71,3.56,1,3.65,0.43,22.75,yield_data.csv,32,0.02808,11.81818182,77.40724668,6,,,canonical_only,,,,,,,,,,,,unavailable,,THETA-USD,,,0,0,csv/quotes/THETA.csv,raw supplied quote fields only; blank means unavailable,first canonical row with source_file=yield_data.csv,1
TIA,celestia,#7b2cbf,T,13.05,12.72,12.06,13.26,12.66,13.18,12.9,13.49,12.77,13.06,0.29,0,data availability sampling rewards,infrastructure,1982324421.0,2395062003.0,2395062003.0,2800000000,41.25,2.99,3.03,3.03,3.85,1.34,27.06,75.0,83.41,92.69,175.02,88.82,11790497.0,18431381.0,200000000,728000000,8.0,1.37,-68.61,-37.39,14.36,13.26,1.185,1.199,0.446,0.615,69.2,12.79,-24.25,0.41,0.08,3.53,14.41,1,15.658,0.7,100,yield_data.csv,21,0.0328,14,7.454061086,9.53,,,canonical_only,,,,,,,,,,,,unavailable,,TIA-USD,,,0,0,csv/quotes/TIA.csv,raw supplied quote fields only; blank means unavailable,first canonical row with source_file=yield_data.csv,1
TRX,tron,#ff060a,R,3.52,3.86,3.2,3.39,3.47,3.51,3.68,3.93,3.49,3.65,0.16,0,super representative voting rewards,payments,5716513748.0,5507260567.0,5507260567.0,9800000000,71.43,0.1016,0.1108,0.1108,0.12,9.06,8.3,55.0,46.85,158.82,365.81,130.33,39317468.0,103311172.0,5110000000,81650000000,-2.0,3.28,-16.85,-14.34,2.709,3.522,1.073,0.982,0.653,0.691,52.5,20.47,25.96,0.23,0.035,-2.72,4.4,1,7.791,-0.81,46.65,yield_data.csv,27,0.00805,1.917808219,14.27315446,6.37,,,canonical_only,,,,,,,,,,,,unavailable,,TRX-USD,,,0,0,csv/quotes/TRX.csv,raw supplied quote fields only; blank means unavailable,first canonical row with source_file=yield_data.csv,1
UNI,uniswap,#ff007a,N,2.59,2.62,2.38,2.83,2.42,2.75,3.04,3.08,2.6,2.82,0.22,0,governance fee-switch yield,defi,3090510682.0,3866813286.0,3866813286.0,4500000000,45.61,3.6,4.74,4.74,6.8,31.67,43.46,80.0,70.11,145.76,186.85,28.19,17004585.0,20692591.0,5500000000,660000000,2.0,1.52,-37.33,-36.5,0.75,1.17,1.3,1.459,0.681,0.764,46.1,-12.05,56.77,0.24,0.074,-1.24,3.14,1,4.022,0.2,26.71,yield_data.csv,16,0.01776,0.8181818182,77.9,4.06,,,canonical_only,,,,,,,,,,,,unavailable,,UNI-USD,,,0,0,csv/quotes/UNI.csv,raw supplied quote fields only; blank means unavailable,first canonical row with source_file=yield_data.csv,1
VET,vechain,#15bdff,V,2.46,2.34,2.22,2.61,2.36,2.79,2.64,3.16,2.41,2.74,0.33,0,authority masternode rewards,enterprise,1229674535.0,1157067129.0,1157067129.0,1800000000,46.38,0.014,0.0142,0.0142,0.022,1.43,54.93,65.0,70.25,76.63,154.12,101.12,2325645.0,26673552.0,90000000,80900000000,2.0,1.07,-34.04,-27.24,0.631,1.053,0.944,0.85,0.584,0.459,38.5,11.46,45.51,0.28,0.094,3.08,2.79,0,3.9,-0.47,24.2,yield_data.csv,31,0.02632,20,62.97815764,-0.34,,,canonical_only,,,,,,,,,,,,unavailable,,VET-USD,,,0,0,csv/quotes/VET.csv,raw supplied quote fields only; blank means unavailable,first canonical row with source_file=yield_data.csv,1
WLD,worldcoin,#000000,W,1.04,1.05,1.09,0.85,1.0,1.06,1.3,1.41,1.01,1.19,0.18,1,annualized from orb operator rewards,ai,460702153.0,636717492.0,636717492.0,680000000,47.6,0.5057,0.4801,0.4801,0.85,-5.06,77.05,108.0,98.53,19.84,37.63,89.67,1513210.0,8135256.0,50000000,800000000,5.0,12.5,-33.1,-25.43,-0.917,-0.822,1.362,1.548,0.658,0.678,41.6,-0.11,54.8,0.16,0.046,4.83,1.21,0,1.208,0.48,1.97,yield_data.csv,59,0.00736,13.6,-163.2577372,-3.64,,,canonical_only,,,,,,,,,,,,unavailable,,WLD-USD,,,0,0,csv/quotes/WLD.csv,raw supplied quote fields only; blank means unavailable,first canonical row with source_file=yield_data.csv,1
XLM,stellar,#14b6e8,M,1.56,1.41,1.61,1.62,1.65,1.79,1.81,2.03,1.55,1.82,0.27,1,annualized from inflation pool snapshots,payments,1579492061.0,1507868070.0,1507868070.0,2800000000,77.27,0.0655,0.0666,0.0666,0.09,1.68,35.14,55.0,46.87,87.11,52.38,-39.87,12957622.0,4253466.0,50000000,31100000000,1.0,1.61,-39.44,-25.6,-0.818,-0.384,0.964,0.969,0.562,0.599,32.1,-4.16,24.41,0.18,0.07,0.71,1.75,0,3.883,0.75,6.19,yield_data.csv,28,0.0126,56,-117.6632292,1.11,,,canonical_only,,,,,,,,,,,,unavailable,,XLM-USD,,,0,0,csv/quotes/XLM.csv,raw supplied quote fields only; blank means unavailable,first canonical row with source_file=yield_data.csv,1
XRP,xrp,#23292f,X,0.54,0.76,0.52,0.61,0.74,0.94,0.92,1.13,0.61,0.93,0.32,1,annualized from lending-market snapshots,payments,41922462098.0,45368615616.0,45368615616.0,64662425600,54.24,0.63,0.58,0.58,1.03,-7.94,77.59,46.75,53.04,2186.47,5394.13,146.7,52490267.0,675095977.0,200000000,62533271552,0.0,1.6,-25.2,-21.91,-2.973,-2.017,0.979,1.031,0.421,0.57,37.8,21.47,-34.57,0.2,0.075,1.36,1.08,0,1.753,0.14,0,yield_data.csv,7,0.015,323.312128,-25.74425384,-0.43,csv/table-1786043404706.csv,XRP-USD,source_snapshot,1786043305,64662425600,1.0339,-3.3015351,1422711168,1663364634,3.375807,1.009753,62533271552,https://xrpl.org/,CCC,source_snapshot,csv/table-1786043404706.csv,XRP-USD,1786043305,2026-08-06T19:08:25Z,83,98.8,csv/quotes/XRP.csv,raw supplied quote fields only; blank means unavailable,first canonical row with source_file=yield_data.csv,1
XTZ,tezos,#0d61ff,Z,4.95,4.82,5.39,5.03,5.14,4.92,5.18,5.11,5.05,5.09,0.04,0,"liquid baking delegation, no lock-up",layer1,799768805.0,753502316.0,753502316.0,1100000000,37.54,0.86,1.02,1.02,1.05,18.6,2.94,65.0,62.78,45.55,70.26,54.25,2543169.0,10587224.0,180000000,1048000000,4.5,1.05,-55.17,-17.9,4.692,4.922,1.032,0.906,0.734,0.709,68.9,13.7,-31.46,0.17,0.019,1.82,4.69,0,8.108,-0.91,61.23,yield_data.csv,25,0.00323,6.111111111,13.16313694,3.27,,,canonical_only,,,,,,,,,,,,unavailable,,XTZ-USD,,,0,0,csv/quotes/XTZ.csv,raw supplied quote fields only; blank means unavailable,first canonical row with source_file=yield_data.csv,1
YFI,yearn,#0657f9,Y,2.05,2.02,1.96,2.05,2.01,2.42,2.45,2.48,2.02,2.34,0.32,0,vault strategy yield share,defi,186790103.0,171019864.0,171019864.0,320000000,71.32,6011.88,7269.03,7269.03,8600.0,20.91,18.31,96.0,95.99,10.93,5.6,-48.76,1215269.0,5204357.0,80000000,37200,0.0,0.99,-34.7,-19.96,0.021,0.354,1.348,1.527,0.657,0.751,68.4,-13.48,34.13,0.21,0.077,-0.91,2.21,0,2.438,0.07,11.99,yield_data.csv,58,0.01617,4,365.5212429,3.25,,,canonical_only,,,,,,,,,,,,unavailable,,YFI-USD,,,0,0,csv/quotes/YFI.csv,raw supplied quote fields only; blank means unavailable,first canonical row with source_file=yield_data.csv,1
