symbol,name,color,icon,q3_24_prior,q4_24_prior,q1_25_prior,q2_25_prior,q3_25_current,q4_25_current,q1_26_current,q2_26_current,agg_prior,agg_current,change_pp,is_annualized,notes,category,mcap_start_prior_usd,mcap_end_prior_usd,mcap_start_current_usd,mcap_end_current_usd,mcap_change_pct,price_start_prior_usd,price_end_prior_usd,price_start_current_usd,price_end_current_usd,price_change_pct_prior,price_change_pct_current,volatility_annualized_prior,volatility_annualized_current,avg_24h_volume_m_usd_prior,avg_24h_volume_m_usd_current,volume_trend_pct,active_addresses,daily_tx_count,tvl_usd,circulating_supply,inflation_rate_pct,fdv_to_mcap_ratio,max_drawdown_prior_pct,max_drawdown_current_pct,sharpe_ratio_prior,sharpe_ratio_current,beta_vs_btc,beta_vs_eth,correlation_btc,correlation_eth,rsi_14d,ma50_200_cross_pct,momentum_90d_pct,yield_volatility,yield_trend_slope,yield_vs_category_avg,q3_26_forward_yield,yield_direction_next_q,risk_adjusted_yield,outperformance_vs_market_pp,investment_score,source_file,source_row
ICP,internet-computer,#3b00b9,I,9.04,10.17,9.75,9.2,8.63,9.32,8.71,9.11,9.54,8.94,-0.6,0,neuron governance staking,layer1,3570094811.0,5322621356.0,5322621356.0,5200000000,45.65,5.06,6.37,6.37,6.85,25.89,7.54,65.0,58.39,115.18,437.95,280.23,19548052.0,42605812.0,250000000,759000000,8.0,3.02,-38.65,-17.96,11.6,11.886,1.007,1.055,0.753,0.876,30.6,12.88,45.81,0.48,-0.103,-1.93,10.06,1,15.311,-0.33,100,yield_data.csv,50
GRT,the-graph,#6747ed,G,5.6,4.74,4.78,4.86,5.34,5.94,5.88,5.9,5.0,5.77,0.77,0,indexer delegation rewards,infrastructure,1237897139.0,1633444404.0,1633444404.0,1700000000,37.33,0.0928,0.0822,0.0822,0.18,-11.42,118.98,75.0,86.23,28.23,167.94,494.9,5032640.0,18940355.0,180000000,9440000000,3.0,1.03,-24.86,-23.83,4.0,4.372,1.273,1.103,0.432,0.519,55.0,-4.57,-18.64,0.49,0.14,1.73,6.82,1,6.691,0.61,59.62,yield_data.csv,51
CRO,cronos,#002d72,C,5.08,4.46,5.03,4.86,4.95,4.66,4.49,4.99,4.86,4.77,-0.09,0,exchange-backed chain staking,payments,1620225850.0,2289795866.0,2289795866.0,2800000000,72.82,0.0609,0.0558,0.0558,0.095,-8.37,70.25,55.0,48.3,79.97,124.22,55.33,983744.0,2612423.0,450000000,29400000000,3.5,1.03,-19.85,-16.18,5.2,5.735,0.921,0.993,0.574,0.63,43.4,-8.29,-24.82,0.23,-0.018,-0.64,4.84,0,9.876,-0.07,61.35,yield_data.csv,52
MKR,maker,#1aab9b,M,1.72,2.24,2.16,1.76,2.22,2.45,2.17,2.35,1.97,2.3,0.33,0,sky protocol revenue share,defi,1058700939.0,1260605292.0,1260605292.0,1300000000,22.79,629.84,806.57,806.57,1200.0,28.06,48.78,80.0,89.02,48.54,125.49,158.53,862494.0,19854492.0,5920000000,1080000,0.0,0.93,-65.83,-30.57,-0.038,0.337,1.389,1.211,0.585,0.642,53.8,5.03,8.77,0.24,0.064,1.36,2.63,1,2.584,0.34,10.68,yield_data.csv,53
CRV,curve,#ff5e5e,C,3.14,2.79,3.67,3.68,3.13,3.39,3.38,3.63,3.32,3.38,0.06,0,veCRV gauge voting yield,defi,227052417.0,254464114.0,254464114.0,380000000,67.36,0.3155,0.2841,0.2841,0.42,-9.95,47.84,96.0,96.92,5.43,26.75,392.63,1563543.0,6146084.0,250000000,905000000,6.0,3.65,-87.09,-37.12,1.375,1.424,1.37,1.518,0.533,0.604,50.4,13.18,-32.1,0.3,0.059,-1.18,3.89,1,3.487,-0.54,27.11,yield_data.csv,54
SNX,synthetix,#00d1ff,S,4.91,4.98,5.05,6.0,5.64,5.92,5.73,5.97,5.24,5.81,0.57,0,snx collateral staking rewards,defi,590296517.0,811010467.0,811010467.0,720000000,21.97,0.76,0.83,0.83,1.15,9.21,38.55,96.0,89.93,9.31,29.46,216.43,646798.0,12151867.0,650000000,626000000,5.0,0.52,-57.26,-36.5,3.375,4.237,1.404,1.301,0.689,0.658,63.4,-16.83,44.63,0.44,0.16,1.91,6.89,1,6.461,0.13,56.63,yield_data.csv,55
COMP,compound,#00d395,C,1.84,2.08,1.94,1.71,2.26,2.42,2.35,2.36,1.89,2.35,0.46,0,governance comp distribution,defi,321499053.0,429067042.0,429067042.0,520000000,61.74,31.09,32.78,32.78,42.5,5.44,29.65,96.0,89.8,13.06,49.72,280.7,53659.0,4326579.0,120000000,12200000,2.5,0.82,-45.62,-33.03,-0.115,0.39,1.266,1.153,0.616,0.747,56.9,-12.5,25.25,0.25,0.083,0.87,2.16,0,2.617,0.02,19.0,yield_data.csv,56
BAL,balancer,#1e8e3e,B,2.42,2.3,2.42,2.58,2.78,2.5,2.72,2.81,2.43,2.7,0.27,0,veBAL liquidity mining,defi,180323742.0,220650669.0,220650669.0,280000000,55.28,1.46,2.05,2.05,1.85,40.41,-9.76,96.0,105.4,7.26,20.33,180.03,19720.0,1917069.0,90000000,151000000,3.0,0.64,-56.24,-84.05,0.448,0.664,1.306,1.27,0.576,0.565,52.5,-12.13,39.37,0.18,0.063,4.12,2.9,1,2.562,0.51,12.98,yield_data.csv,57
YFI,yearn,#0657f9,Y,2.05,2.02,1.96,2.05,2.01,2.42,2.45,2.48,2.02,2.34,0.32,0,vault strategy yield share,defi,186790103.0,171019864.0,171019864.0,320000000,71.32,6011.88,7269.03,7269.03,8600.0,20.91,18.31,96.0,95.99,10.93,5.6,-48.76,1215269.0,5204357.0,80000000,37200,0.0,0.99,-34.7,-19.96,0.021,0.354,1.348,1.527,0.657,0.751,68.4,-13.48,34.13,0.21,0.077,-0.91,2.21,0,2.438,0.07,11.99,yield_data.csv,58
WLD,worldcoin,#000000,W,1.04,1.05,1.09,0.85,1.0,1.06,1.3,1.41,1.01,1.19,0.18,1,annualized from orb operator rewards,ai,460702153.0,636717492.0,636717492.0,680000000,47.6,0.5057,0.4801,0.4801,0.85,-5.06,77.05,108.0,98.53,19.84,37.63,89.67,1513210.0,8135256.0,50000000,800000000,5.0,12.5,-33.1,-25.43,-0.917,-0.822,1.362,1.548,0.658,0.678,41.6,-0.11,54.8,0.16,0.046,4.83,1.21,0,1.208,0.48,1.97,yield_data.csv,59
LUNC,terra-luna,#f9d71c,L,8.21,9.08,9.22,7.88,8.66,8.71,8.76,9.37,8.6,8.88,0.28,0,post-collapse community staking,payments,280911479.0,323054820.0,323054820.0,420000000,49.51,0.0001,0.0001,0.0001,0.0001,0.0,0.0,66.0,59.39,19.47,14.16,-27.27,412968.0,6475322.0,30000000,5250000000000,8.0,1.43,-41.38,-39.84,10.0,11.584,0.947,0.91,0.408,0.739,35.1,13.71,34.39,0.47,0.069,-1.8,8.36,0,14.952,0.04,100,yield_data.csv,60
BTC,bitcoin,#f7931a,B,1.52,0.56,0.94,0.86,1.88,1.96,2.16,1.55,0.97,1.89,0.92,0,lending-market equivalent yield,store_of_value,897177544783.0,988023838812.0,988023838812.0,1192637279810.0,32.93,4301.4,3706.01,3706.01,3770.73,-13.84,1.75,71.06,74.52,88226.05,108786.99,23.3,3666168.0,38428955.0,550211596146.0,19759563.0,2.08,3.76,-20.54,-49.57,0.849,2.389,1.359,1.247,0.437,0.493,74.0,22.17,88.82,3.5,0.784,-4.01,1.53,0,2.536,0.31,6.41,yield_data1.csv,2
ETH,ethereum,#627eea,E,3.53,2.9,3.2,3.66,3.38,3.74,4.43,4.45,3.32,4.0,0.68,0,native validator staking,layer1,309042691735.0,398120355232.0,398120355232.0,526468515247.0,70.35,1732.48,1411.7,1411.7,1952.59,-18.52,38.31,56.81,63.78,18504.65,50616.43,173.53,2517353.0,5910752.0,132816987597.0,15252789.0,8.2,3.21,-60.84,-23.9,0.76,2.757,1.071,1.07,0.316,0.478,31.4,-13.04,72.75,3.14,-0.244,3.09,4.62,1,6.272,0.22,7.88,yield_data1.csv,3
SOL,solana,#14f195,S,6.7,7.29,7.65,6.36,7.82,7.84,7.56,7.49,7.0,7.68,0.68,0,delegated PoS with MEV,layer1,68533951485.0,79727961836.0,79727961836.0,93606830621.0,36.58,1408.48,1912.26,1912.26,3041.3,35.77,59.04,67.74,74.78,5960.77,5615.62,-5.79,4009020.0,25144791.0,28042014966.0,17804552.0,5.36,2.32,-28.45,-13.52,1.467,1.671,1.042,1.075,0.618,0.875,38.0,4.42,41.8,2.94,1.52,2.25,9.08,1,10.27,-0.48,7.06,yield_data1.csv,4
MATIC,polygon,#8247e5,P,6.08,5.09,4.7,4.7,6.07,5.92,6.32,6.38,5.14,6.17,1.03,0,PoS chain validator rewards,layer2,4266898713.0,3836739832.0,3836739832.0,5039940978.0,18.12,2355.36,2612.34,2612.34,3107.88,10.91,18.97,92.92,107.38,444.8,414.73,-6.76,368261.0,13396660.0,1808378095.0,2836588.0,10.71,2.85,-37.47,-12.65,-0.499,1.616,1.705,0.591,0.816,0.491,56.1,15.07,113.02,2.44,1.089,-2.99,6.22,0,5.746,0.36,9.04,yield_data1.csv,5
ADA,cardano,#0033ad,A,3.96,4.66,3.71,3.98,4.6,4.49,4.93,4.74,4.08,4.69,0.61,0,liquid stake pool delegation,layer1,12959690697.0,14203749190.0,14203749190.0,18923421821.0,46.02,405.03,378.2,378.2,488.24,-6.62,29.1,92.5,100.08,913.3,586.18,-35.82,3359347.0,46759290.0,8262819749.0,18385307.0,3.2,2.85,-55.4,-35.92,0.09,-0.253,0.549,1.477,0.333,0.548,42.7,15.78,-35.87,1.93,0.319,-1.05,4.65,0,4.686,0.87,3.62,yield_data1.csv,6
XRP,xrp,#23292f,X,0.98,0.21,0.21,0.31,0.45,0.78,0.77,1.13,0.43,0.78,0.35,1,annualized from lending-market snapshots,payments,23216182189.0,29077555636.0,29077555636.0,28854657289.0,24.29,1559.08,1652.88,1652.88,1821.99,6.02,10.23,70.89,84.28,625.7,2074.37,231.53,1017695.0,46080627.0,1948474837.0,11350562.0,12.26,3.03,-52.74,-20.67,1.633,2.597,0.581,1.083,0.811,0.645,72.8,-8.58,95.1,1.55,0.563,0.38,1.0,0,0.925,0.24,7.34,yield_data1.csv,7
AVAX,avalanche,#e84142,V,8.22,7.78,7.79,7.54,8.02,8.97,8.78,8.88,7.83,8.66,0.83,0,validator/delegator staking with fee burn,layer1,6443019806.0,7079597953.0,7079597953.0,9685943665.0,50.33,1247.5,1348.07,1348.07,1475.25,8.06,9.43,63.92,39.61,642.11,1196.92,86.4,4089954.0,42408710.0,1440022077.0,19119804.0,12.94,3.91,-35.4,-48.03,2.048,1.912,1.746,0.887,0.402,0.67,53.6,6.54,-22.45,2.59,0.889,2.38,8.31,0,21.863,0.74,6.31,yield_data1.csv,8
DOT,polkadot,#e6007a,D,9.47,10.37,9.46,9.81,10.89,10.62,10.67,10.97,9.78,10.79,1.01,0,nominated PoS post-supply-cap reform,layer1,5533761981.0,4984413639.0,4984413639.0,5274644242.0,-4.68,2864.65,2586.11,2586.11,3525.93,-9.72,36.34,80.55,87.79,213.32,537.55,151.99,2557802.0,13911625.0,3752130935.0,6529687.0,3.35,2.17,-18.14,-30.94,2.194,2.263,0.98,0.517,0.363,0.363,31.2,12.43,52.24,3.3,0.376,5.14,11.99,1,12.291,0.2,10.13,yield_data1.csv,9
ATOM,cosmos,#2e3148,C,16.05,15.94,15.07,14.75,15.58,15.67,15.75,16.78,15.45,15.95,0.5,0,high headline yield with dynamic inflation,layer1,2674743961.0,2696227142.0,2696227142.0,2775446978.0,3.76,1388.28,1926.19,1926.19,2906.24,38.75,50.88,76.19,98.9,235.75,388.8,64.92,1975784.0,47358475.0,848531578.0,14972351.0,5.42,1.11,-49.77,-25.32,2.375,2.339,0.571,1.345,0.507,0.865,52.1,-1.3,49.74,2.61,-0.219,3.05,15.06,0,16.127,0.75,10.87,yield_data1.csv,10
SUI,sui,#4da2ff,U,6.1,5.2,5.75,5.33,6.3,5.9,5.82,5.95,5.59,5.99,0.4,0,delegated PoS with variable participation,layer1,4795786932.0,5648957039.0,5648957039.0,5181655561.0,8.05,1734.59,1758.15,1758.15,2000.91,1.36,13.81,49.36,63.68,201.21,187.98,-6.58,2737489.0,33111978.0,3601631647.0,13991291.0,4.75,2.15,-22.38,-13.07,0.33,1.28,0.769,0.846,0.914,0.688,67.0,7.12,64.03,3.38,0.785,-1.55,6.56,1,9.406,-0.61,6.01,yield_data1.csv,11
APT,aptos,#1d4ed8,T,7.35,6.87,7.39,7.89,7.43,7.36,8.45,8.01,7.38,7.81,0.43,0,Move-based PoS with deflationary tokenomics,layer1,3852588354.0,3296677831.0,3296677831.0,4901755101.0,27.23,1411.9,1951.41,1951.41,2652.66,38.21,35.94,86.73,104.18,426.11,352.34,-17.31,4882047.0,47554895.0,864461278.0,16751993.0,3.84,1.9,-32.96,-41.3,1.146,1.264,1.504,1.139,0.422,0.708,32.7,20.75,112.07,2.9,1.588,4.13,9.36,1,7.497,-0.35,5.5,yield_data1.csv,12
TAO,bittensor,#0a0a0a,O,9.35,9.28,9.38,10.2,10.65,10.36,10.08,10.61,9.55,10.43,0.88,0,staking-secured AI subnet rewards,ai,2547352638.0,3096317685.0,3096317685.0,3042987802.0,19.46,2218.69,3104.58,3104.58,2681.63,39.93,-13.62,48.03,97.9,199.3,287.39,44.2,4779937.0,19091035.0,1967466859.0,10815323.0,8.95,1.71,-40.44,-15.93,1.698,0.801,0.766,0.546,0.685,0.799,33.1,-3.28,46.59,1.44,1.932,-2.55,12.19,1,10.654,1.36,7.3,yield_data1.csv,13
LINK,chainlink,#2a5ada,L,4.04,3.3,4.0,3.83,2.96,3.96,4.07,4.04,3.79,3.76,-0.03,0,oracle node staking v0.2,oracle,7136038731.0,7573666664.0,7573666664.0,10506773502.0,47.24,2706.43,3754.94,3754.94,5998.92,38.74,59.76,45.25,71.3,270.9,946.48,249.38,861493.0,44370903.0,3113055176.0,17764160.0,8.94,1.01,-33.73,-28.93,0.149,0.209,1.254,0.639,0.94,0.626,68.7,14.06,20.99,2.27,1.119,-0.48,4.9,1,5.273,0.23,3.25,yield_data1.csv,14
AAVE,aave,#b6509e,V,3.63,4.23,3.38,3.9,4.24,4.99,5.05,4.47,3.79,4.69,0.9,0,safety module staking rewards,defi,1547185896.0,1843885124.0,1843885124.0,2163910385.0,39.86,1756.15,1491.9,1491.9,2139.81,-15.05,43.43,40.27,69.59,79.22,255.19,222.13,1168937.0,16317601.0,664832080.0,7302540.0,13.42,4.26,-57.86,-30.54,0.03,2.361,0.708,1.258,0.527,0.799,45.5,17.13,21.06,0.79,1.358,3.54,4.03,0,6.739,0.86,9.07,yield_data1.csv,15
UNI,uniswap,#ff007a,N,3.0,2.49,3.66,3.59,3.06,3.62,3.73,3.33,3.19,3.44,0.25,0,governance fee-switch yield,defi,3312055293.0,4208264513.0,4208264513.0,4909653816.0,48.24,436.51,513.39,513.39,526.59,17.61,2.57,93.33,74.9,107.06,285.5,166.67,2317417.0,20122118.0,219558153.0,14612783.0,9.46,2.52,-48.96,-54.45,2.226,2.496,1.734,1.234,0.655,0.47,42.6,-1.78,107.66,2.62,-0.474,2.27,3.17,0,4.593,0.08,8.59,yield_data1.csv,16
ARB,arbitrum,#28a0f0,R,3.92,3.56,3.95,3.55,3.2,3.74,3.52,4.76,3.75,3.81,0.06,0,sequencer revenue share staking,layer2,5195093945.0,6437244292.0,6437244292.0,7631775837.0,46.9,2667.61,2676.27,2676.27,2350.09,0.32,-12.19,48.19,39.67,546.47,419.17,-23.29,138051.0,10540289.0,2040905462.0,6261279.0,8.71,1.36,-49.62,-36.79,-0.466,0.015,0.862,0.741,0.601,0.695,33.5,-2.62,50.82,2.58,1.203,2.27,4.25,0,9.604,0.02,2.62,yield_data1.csv,17
OP,optimism,#ff0420,P,3.61,3.53,2.69,2.29,3.75,3.99,3.1,3.73,3.03,3.64,0.61,0,governance staking with retro funding,layer2,3096413094.0,3768722776.0,3768722776.0,5627081933.0,81.73,2965.2,3991.98,3991.98,5362.88,34.63,34.34,55.48,57.79,249.76,299.34,19.85,4422139.0,41964140.0,240085328.0,10310091.0,-1.63,4.64,-27.69,-46.73,0.096,0.603,1.579,0.94,0.442,0.381,45.5,-12.42,75.53,2.42,1.205,4.96,3.62,0,6.299,0.14,2.48,yield_data1.csv,18
NEAR,near,#00c08b,N,8.06,9.17,9.18,8.16,9.02,9.26,9.07,9.95,8.64,9.32,0.68,0,nightshade sharded PoS,layer1,3615414619.0,4017526323.0,4017526323.0,4399426325.0,21.69,954.15,957.74,957.74,944.21,0.38,-1.41,94.33,99.08,135.34,235.25,73.82,4739990.0,43589450.0,1592252791.0,8273743.0,-0.19,3.74,-25.74,-33.34,0.129,1.377,1.137,1.065,0.815,0.504,68.7,4.54,49.42,2.99,0.314,7.96,10.02,1,9.407,-0.05,7.53,yield_data1.csv,19
SEI,sei,#9e1e1e,E,6.88,6.54,7.06,7.37,6.94,7.22,8.19,7.93,6.96,7.57,0.61,0,parallelized orderbook L1 staking,layer1,1141195672.0,1284591930.0,1284591930.0,1911280402.0,67.48,2186.36,1921.27,1921.27,2808.74,-12.12,46.19,74.42,34.89,98.9,46.8,-52.68,3958081.0,47054535.0,210253593.0,6083612.0,7.19,2.6,-37.86,-20.58,-0.339,0.313,0.615,1.205,0.618,0.661,26.5,-6.16,18.27,2.04,0.664,4.71,7.23,0,21.697,0.46,5.53,yield_data1.csv,20
TIA,celestia,#7b2cbf,T,13.9,14.03,13.39,13.56,14.11,14.56,14.28,14.41,13.72,14.34,0.62,0,data availability sampling rewards,infrastructure,1432218399.0,1222802781.0,1222802781.0,1169969908.0,-18.31,1758.24,2149.95,2149.95,3139.12,22.28,46.01,50.43,90.54,52.11,52.5,0.75,4091449.0,21199724.0,536865637.0,16828997.0,0.9,2.01,-63.4,-21.78,-0.024,2.973,0.991,0.965,0.857,0.752,73.4,10.17,30.48,3.33,1.017,-3.81,17.42,1,15.838,-0.36,10.58,yield_data1.csv,21
INJ,injective,#00a3ff,I,10.06,10.96,10.32,11.4,11.48,10.69,11.04,11.7,10.69,11.23,0.54,0,cosmos-sdk PoS with exchange fees,defi,1463054999.0,1766497324.0,1766497324.0,2249300795.0,53.74,474.62,428.71,428.71,570.54,-9.67,33.08,46.36,105.84,173.08,53.91,-68.85,4856419.0,32444818.0,1075714838.0,15999564.0,2.88,2.64,-15.48,-35.97,2.16,2.474,1.083,0.652,0.816,0.669,73.5,3.24,57.37,2.2,1.827,3.71,11.47,0,10.61,0.53,10.9,yield_data1.csv,22
RENDER,render,#ff6b35,R,4.54,4.41,5.7,5.11,5.27,5.79,5.97,5.38,4.94,5.6,0.66,0,DePIN GPU compute staking,depin,1768790540.0,1809421535.0,1809421535.0,2525177318.0,42.76,1576.43,1762.74,1762.74,1628.3,11.82,-7.63,51.57,32.98,139.77,73.56,-47.37,4616679.0,28262459.0,600815017.0,13263913.0,7.77,3.06,-38.93,-13.01,2.195,0.143,0.547,0.601,0.648,0.495,73.6,14.96,-28.62,2.23,-0.201,7.53,6.52,1,16.98,-0.27,2.65,yield_data1.csv,23
FIL,filecoin,#0090ff,F,5.36,5.89,5.88,5.95,6.57,6.66,7.18,6.27,5.77,6.67,0.9,0,storage provider collateral yield,storage,2664937057.0,2694589702.0,2694589702.0,3874795944.0,45.4,2071.52,2154.43,2154.43,2661.94,4.0,23.56,85.91,63.51,183.6,377.56,105.64,2220688.0,38462500.0,1309230240.0,12220488.0,6.21,1.07,-62.27,-29.7,-0.398,1.236,0.596,0.765,0.639,0.502,46.6,14.41,-35.79,2.23,0.8,7.39,5.64,0,10.502,0.66,4.39,yield_data1.csv,24
XTZ,tezos,#0d61ff,Z,4.34,4.24,5.08,4.1,4.43,4.89,5.01,4.98,4.44,4.83,0.39,0,liquid baking delegation,layer1,584313852.0,546351781.0,546351781.0,624611337.0,6.9,333.62,288.05,288.05,458.71,-13.66,59.25,59.06,30.46,23.18,33.82,45.9,4011987.0,26283599.0,428960679.0,2606491.0,0.85,5.1,-25.93,-50.74,1.909,1.556,1.659,1.105,0.323,0.897,73.9,12.75,94.54,1.95,1.835,7.44,6.03,1,15.857,-1.04,7.09,yield_data1.csv,25
ALGO,algorand,#00a4d8,G,3.1,4.18,3.41,4.08,3.86,3.41,4.7,4.65,3.69,4.16,0.47,0,governance participation rewards,layer1,1306090838.0,1140879723.0,1140879723.0,1089145143.0,-16.61,1955.78,1892.17,1892.17,1618.71,-3.25,-14.45,72.06,33.49,146.91,31.88,-78.3,3518484.0,27371767.0,601572766.0,10817170.0,7.18,3.23,-17.66,-28.19,1.11,1.231,0.739,0.517,0.551,0.401,58.7,-7.86,-2.1,2.09,0.762,-0.62,4.47,0,12.422,-0.32,3.8,yield_data1.csv,26
TRX,tron,#ff060a,R,5.0,4.93,4.81,3.72,4.53,4.36,4.73,4.47,4.62,4.52,-0.1,0,super representative voting rewards,payments,5895730162.0,6026410312.0,6026410312.0,8127807676.0,37.86,391.31,533.81,533.81,799.12,36.42,49.7,81.74,95.82,397.58,895.25,125.17,3449220.0,16187451.0,2483478326.0,3192033.0,-1.97,2.71,-63.29,-34.91,0.756,1.57,1.117,0.892,0.783,0.687,57.5,-5.48,20.36,1.08,0.259,3.78,5.02,1,4.717,-0.73,5.23,yield_data1.csv,27
XLM,stellar,#14b6e8,M,1.56,2.53,1.37,2.2,2.0,2.11,2.9,3.0,1.92,2.5,0.58,1,annualized from inflation pool snapshots,payments,1825000691.0,2438601081.0,2438601081.0,2695947898.0,47.72,2208.87,2713.96,2713.96,3507.61,22.87,29.24,49.56,67.72,208.39,266.76,28.01,2537929.0,33140679.0,246102548.0,3416309.0,8.42,2.4,-35.39,-23.59,0.833,0.675,0.611,1.197,0.303,0.685,29.8,18.28,31.01,0.52,0.463,-1.44,3.47,1,3.692,-0.38,5.26,yield_data1.csv,28
EOS,eos,#000000,S,3.59,3.85,2.95,3.17,4.36,4.05,4.15,4.55,3.39,4.28,0.89,0,rex resource exchange yield,layer1,640292536.0,781038484.0,781038484.0,895277048.0,39.82,889.68,878.91,878.91,857.92,-1.21,-2.39,71.74,32.45,26.46,99.27,275.17,3577226.0,38021265.0,225721218.0,17484965.0,9.3,1.75,-20.08,-29.72,1.305,1.827,0.952,1.178,0.497,0.659,73.5,12.74,15.62,3.25,0.106,1.61,3.94,0,13.19,0.15,5.28,yield_data1.csv,29
NEO,neo,#58bf00,O,2.79,3.63,3.5,4.06,3.39,4.5,3.6,3.87,3.5,3.84,0.34,0,neo/gas dual-token staking,layer1,460760150.0,490826934.0,490826934.0,612689234.0,32.97,1334.76,1368.25,1368.25,1672.92,2.51,22.27,38.55,54.57,10.88,59.77,449.36,1720327.0,14967537.0,166112435.0,19696440.0,8.7,3.41,-56.47,-55.54,0.357,1.894,1.74,1.057,0.841,0.55,44.5,-6.18,27.4,1.67,1.057,6.82,4.61,1,7.037,-0.76,6.34,yield_data1.csv,30
VET,vechain,#15bdff,V,2.65,2.78,2.08,1.89,3.27,2.65,3.21,3.39,2.35,3.13,0.78,0,authority masternode rewards,enterprise,1276746692.0,1636528991.0,1636528991.0,2322264269.0,81.89,87.9,82.77,82.77,81.21,-5.84,-1.88,72.07,67.83,129.47,177.9,37.41,988076.0,1650597.0,144827101.0,2928473.0,1.69,1.55,-45.07,-41.25,2.481,1.767,0.983,0.853,0.883,0.405,28.3,-1.33,-15.89,2.31,-0.251,-3.63,3.99,1,4.614,-0.47,5.71,yield_data1.csv,31
THETA,theta,#2ab8e6,H,3.37,3.63,3.54,4.2,3.45,4.21,3.79,4.12,3.69,3.89,0.2,0,guardian node staking,media,1073142211.0,1231133249.0,1231133249.0,1200070118.0,11.83,1039.62,924.89,924.89,1109.59,-11.04,19.97,86.29,37.96,128.57,148.13,15.21,2146741.0,47367127.0,127031681.0,14029299.0,5.19,5.46,-37.09,-14.82,0.927,2.166,1.797,0.948,0.578,0.389,60.6,5.96,27.94,1.42,-0.078,6.14,4.49,1,10.248,-0.88,6.51,yield_data1.csv,32
FTM,fantom,#1969ff,F,5.27,4.68,4.71,5.4,4.79,5.4,6.2,6.35,5.01,5.69,0.68,0,sonic consensus staking,layer1,2041225770.0,2537134846.0,2537134846.0,3341196884.0,63.69,1095.0,1370.34,1370.34,1586.67,25.15,15.79,73.02,76.23,166.93,205.45,23.08,4296325.0,43350793.0,577833071.0,15091141.0,8.28,1.82,-35.95,-13.57,1.329,1.44,0.806,1.312,0.865,0.469,71.6,14.11,30.68,1.45,0.793,7.38,6.19,0,7.464,-0.56,5.61,yield_data1.csv,33
ONE,harmony,#00aee9,H,8.32,8.54,8.62,9.69,9.76,9.91,9.44,9.34,8.79,9.61,0.82,0,effective proof-of-stake,layer1,426814804.0,491022651.0,491022651.0,541392377.0,26.84,955.02,1291.82,1291.82,1716.03,35.27,32.84,74.66,62.48,26.65,43.33,62.59,1912866.0,5414572.0,140623371.0,16650272.0,5.32,4.06,-44.22,-38.19,0.575,2.21,0.941,0.886,0.463,0.623,43.0,3.64,56.51,3.06,0.235,7.68,10.9,1,15.381,1.09,8.43,yield_data1.csv,34
KAVA,kava,#ff564f,K,13.03,12.83,12.68,13.28,12.98,12.36,13.48,13.01,12.96,12.96,0.0,0,hard protocol + tendermint staking,defi,241395159.0,241399060.0,241399060.0,342511128.0,41.89,2129.08,1706.11,1706.11,1729.5,-19.87,1.37,39.67,44.12,21.94,48.49,121.01,4806953.0,27031182.0,30740535.0,12638011.0,6.77,3.78,-29.45,-16.97,0.755,0.085,1.797,1.499,0.816,0.391,54.5,14.4,22.1,0.74,1.925,2.3,11.18,0,29.374,-1.04,5.09,yield_data1.csv,35
ROSE,oasis,#0092f6,O,10.26,10.7,9.41,9.38,9.83,10.51,10.33,10.88,9.94,10.39,0.45,0,paratime validator rewards,privacy,427561449.0,482448753.0,482448753.0,675805511.0,58.06,1323.84,1798.4,1798.4,2087.92,35.85,16.1,43.97,81.17,50.67,28.01,-44.72,2016122.0,2536335.0,166766924.0,11908569.0,11.96,2.98,-46.8,-48.08,0.362,2.277,1.515,0.973,0.475,0.772,51.2,-8.97,11.42,2.74,1.224,-4.6,9.7,0,12.8,0.02,7.13,yield_data1.csv,36
FLOW,flow,#00ef8b,W,5.1,4.28,4.96,4.37,5.04,5.69,5.77,5.01,4.68,5.38,0.7,0,epoch-based staking rewards,nft,685092270.0,607913899.0,607913899.0,909819638.0,32.8,1101.46,1323.97,1323.97,1399.88,20.2,5.73,48.13,57.21,20.06,81.95,308.52,600549.0,27221504.0,388636036.0,9815681.0,3.91,4.53,-21.88,-18.88,1.157,1.954,0.946,1.147,0.606,0.459,63.0,22.52,35.79,3.21,0.988,3.1,4.83,0,9.404,-0.76,7.64,yield_data1.csv,37
MINA,mina,#ff6038,M,8.88,8.64,8.21,9.43,9.46,9.16,9.89,9.81,8.79,9.58,0.79,0,snark-based PoS consensus,layer1,438251947.0,448145166.0,448145166.0,654877369.0,49.43,2156.52,2338.2,2338.2,3604.05,8.42,54.14,90.03,42.15,28.67,88.82,209.8,4746372.0,35714177.0,90223316.0,3347374.0,14.45,4.7,-18.59,-26.55,0.396,2.906,1.383,1.416,0.902,0.516,46.8,20.05,64.67,3.3,-0.472,7.8,9.13,0,22.728,0.04,10.08,yield_data1.csv,38
