symbol,name,color,icon,q3_24_prior,q4_24_prior,q1_25_prior,q2_25_prior,q3_25_current,q4_25_current,q1_26_current,q2_26_current,agg_prior,agg_current,change_pp,is_annualized,notes,category,mcap_start_prior_usd,mcap_end_prior_usd,mcap_start_current_usd,mcap_end_current_usd,mcap_change_pct,price_start_prior_usd,price_end_prior_usd,price_start_current_usd,price_end_current_usd,price_change_pct_prior,price_change_pct_current,volatility_annualized_prior,volatility_annualized_current,avg_24h_volume_m_usd_prior,avg_24h_volume_m_usd_current,volume_trend_pct,active_addresses,daily_tx_count,tvl_usd,circulating_supply,inflation_rate_pct,fdv_to_mcap_ratio,max_drawdown_prior_pct,max_drawdown_current_pct,sharpe_ratio_prior,sharpe_ratio_current,beta_vs_btc,beta_vs_eth,correlation_btc,correlation_eth,rsi_14d,ma50_200_cross_pct,momentum_90d_pct,yield_volatility,yield_trend_slope,yield_vs_category_avg,q3_26_forward_yield,yield_direction_next_q,risk_adjusted_yield,outperformance_vs_market_pp,investment_score
ICP,internet-computer,#3b00b9,I,9.84,9.67,9.4,9.87,10.83,10.66,11.08,10.89,9.7,10.87,1.17,0,neuron governance staking,layer1,3650852190.0,3353668284.0,3353668284.0,4329699797.0,18.59,2463.48,3164.69,3164.69,5029.79,28.46,58.93,52.33,75.39,387.35,161.6,-58.28,1110027.0,25504228.0,2201612691.0,2250408.0,1.86,4.6,-51.6,-53.6,-0.108,0.277,0.703,1.391,0.639,0.729,43.9,4.56,103.92,2.83,0.66,0.14,10.52,0,14.418,1.65,5.0
GRT,the-graph,#6747ed,G,5.68,6.08,5.2,5.66,6.22,6.55,6.79,6.71,5.66,6.57,0.91,0,indexer delegation rewards,infrastructure,1152827987.0,1465875601.0,1465875601.0,1776298876.0,54.08,975.41,1177.91,1177.91,1227.35,20.76,4.2,80.38,64.44,119.26,51.79,-56.57,3541107.0,30746303.0,834092778.0,12933233.0,6.33,2.15,-46.63,-30.58,-0.381,2.439,1.689,1.014,0.446,0.48,61.2,11.47,14.49,1.21,0.485,7.33,5.73,0,10.196,0.58,7.73
CRO,cronos,#002d72,C,5.16,4.79,5.21,5.89,5.91,5.3,5.35,6.02,5.26,5.64,0.38,0,exchange-backed chain staking,payments,1611961119.0,1547511313.0,1547511313.0,1581552657.0,-1.89,1397.09,1777.98,1777.98,2408.84,27.26,35.48,45.0,73.5,110.28,54.1,-50.94,3138071.0,46111147.0,565732473.0,5837783.0,4.79,3.69,-55.33,-14.06,0.232,0.289,0.839,1.093,0.833,0.873,66.3,0.56,68.47,0.31,0.348,1.55,7.39,1,7.673,0.17,4.31
MKR,maker,#1aab9b,M,2.71,2.24,3.01,2.9,3.01,2.62,2.74,2.68,2.71,2.76,0.05,0,sky protocol revenue share,defi,984982576.0,865859896.0,865859896.0,1071365212.0,8.77,525.24,628.63,628.63,953.83,19.68,51.73,69.36,43.67,37.5,102.31,172.83,2687042.0,22131735.0,473026482.0,5717311.0,13.5,4.23,-39.89,-17.17,-0.422,1.577,1.238,1.05,0.735,0.367,62.9,17.49,-13.26,0.34,0.733,7.25,2.95,1,6.32,-1.06,7.34
CRV,curve,#ff5e5e,C,3.59,3.96,4.56,3.32,4.2,4.61,4.23,4.99,3.86,4.51,0.65,0,veCRV gauge voting yield,defi,227373649.0,263498911.0,263498911.0,278435428.0,22.46,559.3,614.65,614.65,588.57,9.9,-4.24,77.12,88.74,22.99,15.58,-32.23,1368824.0,3228666.0,91006961.0,9341628.0,5.23,4.62,-28.57,-19.62,0.123,1.125,1.064,0.983,0.688,0.398,29.6,-0.11,112.74,3.05,1.399,-1.23,5.12,1,5.082,-0.43,8.25
SNX,synthetix,#00d1ff,S,6.24,5.84,6.5,5.46,6.85,7.02,6.38,6.91,6.01,6.79,0.78,0,snx collateral staking rewards,defi,428825223.0,393080038.0,393080038.0,436538145.0,1.8,517.22,578.81,578.81,748.81,11.91,29.37,37.12,46.8,15.79,15.95,1.01,2188914.0,19866530.0,155461773.0,12214411.0,14.61,1.75,-56.76,-22.12,0.066,2.24,0.641,1.122,0.783,0.629,43.6,-13.9,113.97,0.71,1.373,3.06,6.29,0,14.509,0.92,9.18
COMP,compound,#00d395,C,1.98,3.23,2.53,1.78,2.5,3.37,3.05,3.61,2.38,3.13,0.75,0,governance comp distribution,defi,307375052.0,320481407.0,320481407.0,350193048.0,13.93,1707.32,1559.87,1559.87,1439.98,-8.64,-7.69,76.85,47.37,16.18,26.57,64.22,3993958.0,35424174.0,221520781.0,5915488.0,-1.93,4.86,-18.88,-29.24,2.352,0.647,0.446,1.495,0.58,0.556,56.7,-3.63,78.3,3.24,-0.43,3.21,4.1,1,6.608,0.6,6.05
BAL,balancer,#1e8e3e,B,3.52,4.03,3.4,3.97,4.02,3.84,4.11,4.01,3.73,4.0,0.27,0,veBAL liquidity mining,defi,183465754.0,245101506.0,245101506.0,236987555.0,29.17,2407.01,2018.01,2018.01,2898.88,-16.16,43.65,60.71,50.63,16.19,21.81,34.71,4173640.0,44819685.0,79560008.0,18166564.0,8.35,4.73,-53.92,-54.76,0.763,2.733,0.422,0.568,0.674,0.897,66.6,13.49,111.28,3.3,0.271,-4.16,3.57,0,7.9,0.06,8.64
YFI,yearn,#0657f9,Y,3.03,2.58,3.14,2.89,2.77,2.66,2.8,3.42,2.91,2.91,0.0,0,vault strategy yield share,defi,299088000.0,291211923.0,291211923.0,372538906.0,24.56,402.23,338.46,338.46,457.4,-15.85,35.14,56.07,75.72,28.29,48.79,72.46,3071022.0,41860367.0,227486265.0,16994815.0,7.35,3.27,-56.28,-45.93,0.35,1.692,0.749,0.583,0.494,0.476,56.3,-6.38,21.19,2.11,0.612,-0.85,4.27,1,3.843,-0.34,4.86
WLD,worldcoin,#000000,W,1.68,1.28,1.45,0.89,1.04,1.44,1.58,1.78,1.32,1.46,0.14,1,annualized from orb operator rewards,ai,539202507.0,496377808.0,496377808.0,584186749.0,8.34,796.93,981.24,981.24,842.56,23.13,-14.13,69.93,108.75,37.82,67.33,78.03,1878015.0,26144418.0,170029510.0,9309481.0,11.73,1.62,-31.4,-36.53,0.469,2.249,0.506,1.073,0.934,0.752,38.1,10.8,23.83,0.99,0.737,-0.3,1.81,1,1.343,-0.76,5.07
LUNC,terra-luna,#f9d71c,L,10.56,9.92,10.07,10.81,11.05,10.43,10.99,11.3,10.34,10.94,0.6,0,post-collapse community staking,payments,383767483.0,449996266.0,449996266.0,551000161.0,43.58,362.28,356.56,356.56,358.98,-1.58,0.68,39.47,78.96,42.64,77.12,80.86,1147679.0,1511259.0,97999478.0,9571392.0,4.56,4.03,-54.12,-35.88,0.713,1.571,1.153,0.839,0.817,0.747,28.8,2.24,-29.19,2.95,1.128,3.47,9.81,0,13.855,-0.72,7.12
